ROUTE,FLOW
ESTQ00,A-flow
ESTU0Z,A-flow
ETLU0Z,A-flow
EXAP00,A-flow
EXAPX0,A-flow
EXAU00,A-flow
EXAUX0,A-flow
EXFP00,A-flow
EXFPX0,A-flow
EXFU00,A-flow
EXFUX0,A-flow
EXL001,A-flow
EXLU00,A-flow
EXLUX0,A-flow
EXOU00,A-flow
EXOUX0,A-flow
EXP001,A-flow
EXPAIN,A-flow
EXPEDO,A-flow
EXPEDT,A-flow
EXPRLN,A-flow
EXTU00,A-flow
EXTUX0,A-flow
FCABIZ,A-flow
FCACIZ,A-flow
FCASIZ,A-flow
FDUPIN,A-flow
FDX020,A-flow
FDX022,A-flow
FDX023,A-flow
FDX026,A-flow
FDX027,A-flow
FDX028,A-flow
FDX029,A-flow
FDX02B,A-flow
FDX02C,A-flow
FDX033,A-flow
FDX034,A-flow
FDX035,A-flow
FDX036,A-flow
FDX037,A-flow
FDX038,A-flow
FDX039,A-flow
FDX040,A-flow
FDX041,A-flow
FDX042,A-flow
FDXC07,A-flow
FDXC08,A-flow
FDXCEF,A-flow
FDXCPF,A-flow
FDXD24,A-flow
FDXDOM,A-flow
FDXE24,A-flow
FDXE36,A-flow
FDXEXP,A-flow
FDXFR1,A-flow
FDXFR2,A-flow
FDXFR4,A-flow
FDXFR5,A-flow
FDXFR6,A-flow
FDXFRP,A-flow
FDXIEC,A-flow
FDXIEF,A-flow
FDXIPF,A-flow
FDXIPR,A-flow
FDXL20,A-flow
FDXL21,A-flow
FDXL22,A-flow
FDXL23,A-flow
FDXL24,A-flow
FDXL25,A-flow
FDXL27,A-flow
FDXL28,A-flow
FDXL29,A-flow
FDXLR1,A-flow
FDXLR2,A-flow
FDXLR3,A-flow
FDXLR4,A-flow
FDXLR5,A-flow
FDXLR6,A-flow
FDXLR7,A-flow
FDXLT1,A-flow
